NASIONAL,"PAPUA BARAT",59.9,0.172,0.402,0.254,0.042,2011
NASIONAL,PAPUA,55.01,0.146,0.000,0.000,0.000,2011
NASIONAL,"JAWA TIMUR",66.74,0.627,0.476,0.238,0.336,2012
NASIONAL,"NANGGROE ACEH DARUSSALAM",67.81,0.547,0.738,0.560,0.174,2012
NASIONAL,"SUMATERA UTARA",67.74,0.421,0.517,0.636,0.284,2012
NASIONAL,"SUMATERA BARAT",68.36,0.438,0.669,0.540,0.305,2012
NASIONAL,RIAU,69.15,0.658,0.485,0.555,0.361,2012
NASIONAL,JAMBI,66.94,0.632,0.474,0.347,0.253,2012
NASIONAL,"SUMATERA SELATAN",65.79,0.497,0.418,0.377,0.262,2012
NASIONAL,BENGKULU,66.61,0.452,0.559,0.485,0.227,2012
NASIONAL,LAMPUNG,64.87,0.556,0.409,0.334,0.187,2012
NASIONAL,"KEPULAUAN BANGKA BELITUNG",67.21,0.569,0.304,0.323,0.474,2012
NASIONAL,"KEPULAUAN RIAU",72.36,0.513,0.505,0.819,0.623,2012
NASIONAL,"DKI JAKARTA",77.53,0.794,0.515,1.000,1.000,2012
NASIONAL,"JAWA BARAT",67.32,0.776,0.385,0.381,0.290,2012
NASIONAL,"JAWA TENGAH",67.21,0.888,0.412,0.221,0.307,2012
NASIONAL,"DAERAH ISTIMEWA YOGYAKARTA",76.15,1.000,1.000,0.617,0.564,2012
NASIONAL,BANTEN,68.92,0.514,0.485,0.496,0.454,2012
NASIONAL,BALI,71.62,0.698,0.570,0.494,0.602,2012
NASIONAL,"NUSA TENGGARA BARAT",62.98,0.123,0.561,0.128,0.244,2012
NASIONAL,"NUSA TENGGARA TIMUR",60.81,0.230,0.474,0.209,0.042,2012
NASIONAL,"KALIMANTAN BARAT",63.41,0.567,0.362,0.189,0.161,2012
NASIONAL,"KALIMANTAN TENGAH",66.66,0.542,0.382,0.426,0.313,2012
NASIONAL,"KALIMANTAN SELATAN",66.68,0.360,0.439,0.372,0.410,2012
NASIONAL,"KALIMANTAN TIMUR",72.62,0.908,0.606,0.660,0.448,2012
NASIONAL,"KALIMANTAN UTARA",67.99,0.776,0.577,0.504,0.183,2012
NASIONAL,"SULAWESI UTARA",69.04,0.677,0.481,0.634,0.300,2012
NASIONAL,"SULAWESI TENGAH",65,0.323,0.539,0.426,0.189,2012
